"name","mz","rt","QC36","QC37","QC38","QC39","QC40","QC41","QC42","QC43","QC44","QC45","QC46","QC47","QC48","QC49","QC50","QC51","QC52","QC53","QC54","QC55","QC56","QC57","QC58","QC59","QC60","EC0552","ECA111","EC7274","EC618","EC619","ECA168","ECA225","EC6840","EC6857","EC6926","ECA004","EC0628_1","ECA162","EC7135","ECA424","EC625","ECA222","EC7514","EC8551","EC7087","ECA220","EC6953","ECA507","ECA201","ECA102","ECA1088","EC0909","ECA504","EC7064","EC656","EC7570","EC0753","ECA137","ECA1161","EC7490","ECA301","EC6849","ECA100","EC6864","EC6988","EC7031","ECA299","EC7482","EC636","EC738","EC0890","EC7470","EC6951","EC686","EC0356","EC7060","EC7025","ECA195","EC687","ECA188","EC628","EC7143","EC611","EC7354","EC7279","EC4A1168","EC6938","EC7084","EC7340","EC7139","EC620","EC6812","ECA097","EC595","EC0848","EC7511","ECA041","EC7327","EC7179","EC298","EC6843","EC655","ECA297","ECA176","EC632","EC0788","ECA328","ECA287","EC237","ECA125","EC7515","ECA038","ECA120","EC0239","ECA1143","EC7320","ECA217","EC7101","EC7492","ECA239","EC7351","EC7392","EC7276","ECA214","EC7009","EC189","ECA408","ECA212","EC0114","ECA126","ECA121","EC0214","ECA286","EC7063","EC7384","EC627_1","EC6934","EC6907","ECFC145","EC7454","ECA107","EC6758","EC7355","EC6913","ECA210","EC7285","ECA573","EC7341","ECA327","EC7502","ECA098","ECA197","ECA169","ECA288","EC616","ECA642","ECA537","EC7286","ECA290","ECA193","EC0858","ECA405","EC6809","ECA407","ECA167","EC6915","EC7183","EC0364","ECA108","EC7028","EC0466","ECA425","ECA1070","EC7282","EC6775","EC302","EC6850","ECA106","EC7507","EC735","EC7070","EC623","EC7184","EC577","EC0830","EC0576","ECA508","EC612","EC7393","EC6993","EC633","ECA110","EC0864","ECA574","EC6945","ECA418","EC7383","EC653","EC7114","EC1A1079","EC711_1","EC0547","EC0628_2","EC7326","EC646","EC0681","ECA186","ECA143","EC733","ECA103","ECA022","EC7061","ECA1142","ECA216","ECA024","ECA415","EC6851"
"M72T39",72.08096464,38.9045,1768846.961,1902603.558,1944295.702,2001001.726,2010369.515,1362711.726,1358473.776,1428419.709,1960392.638,1261408.373,1295560.135,1207240.4,1132857.016,1315356.453,1373095.226,1250312.013,1207670.782,1340548.301,1260442.726,1246194.698,1205463.362,1212290.541,1183718.619,1077252.939,1102008.267,2006088.436,1962656.683,1422683.748,1530285.277,1693690.996,1749066.561,1812805.89,1556043.719,1872644.086,1552113.828,1431891.581,1889110.176,1853161.61,1499473.784,2250654.633,1652431.498,NA,1829292.159,1706837.692,1821189.474,2552848.478,2256819.683,2362497.439,1937766.537,2111079.102,2247402.105,1887831.744,2062508.801,1441466.507,1611920.079,2007890.139,1671344.15,1801732.752,2170915.176,2339007.804,1902131.493,1333321.523,2667063.176,1611627.34,1932633.259,1316227.322,2628549.561,1954902.191,915647.3889,1037949.496,1266043.705,1684414.903,1495029.541,1767413.174,1291599.981,940827.3748,1379037.294,1837354.093,941274.8781,1482067.681,1697182.444,1441097.9,1252730.902,2014740.936,1810028.882,1570808.026,1327868.124,1628499.449,1413305.679,1794316.848,1609700.691,1639368.866,1846127.572,1173718.204,1574439.62,1042480.741,1259428.347,1291339.005,1457637.892,1108397.062,1304321.896,1786313.454,1324225.341,1179482.717,1398779.224,1644235.239,1313118.352,1342164.668,1157310.396,1291958.314,1136964.273,1357165.031,1383910.436,1029838.433,924665.085,1564847.252,1271108.521,1383179.703,1096493.797,2199962.415,2059675.799,917328.7643,998294.6429,1436992.686,769443.4681,1741730.178,1489660.707,1126670.452,867684.7855,1074367.372,1143872.794,1326756.692,950821.0744,1249636.94,957799.0795,735805.3088,871333.2888,877193.7494,1184464.152,1120133.366,1049158.213,894728.2757,1339941.057,929055.5611,942289.1453,1381082.259,1486093.736,1279376.598,983729.2927,1444955.401,1275921.418,1105176.787,1078139.2,961069.2866,1539641.657,1217286.686,1199454.42,1103345.45,1116809.238,1432037.262,1284722.856,1207271.099,1307795.527,1567523.143,1396646.147,1563766.521,1402825.008,1354214.239,1286612.51,1378700.777,1225555.038,1107130.63,1387918.685,1323519.89,1065223.505,1148198.959,1011725.656,1109029.509,970865.7543,890229.4713,1135697.666,1355129.297,1354414.113,1005953.801,1588253.952,814625.1164,1046856.544,1168637.983,1067911.999,693583.4446,851340.883,1206237.716,1197176.218,1131603.058,1103034.419,1138487.724,1173189.341,1153151.414,1106331.114,899682.8853,938575.9098,868767.835,1215684.392,1462861.278,923675.7721,1127582.124,1420247.781,1104403.92,1017725.161,1067240.909,1053022.956,1510284.821,824699.9873,1054794.253,1025110.558,898905.2016,993292.7565
"M72T57",72.08079531,56.521,2477376.746,2768991.726,2661909.472,2610506.161,2532814.023,2846574.682,2709524.258,2630393.223,2660825.911,2462787.291,2496915.515,2464306.033,2769883.098,2475982.313,2506227.586,3061168.917,2504120.048,2691266.711,2686039.496,2809301.472,2567317.026,2523163.037,2416395.57,2424740.99,2316201.643,2986311.774,2936846.634,2293876.353,2423212.868,2851687.48,2788204.35,2508920.313,2344215.912,2553262.343,2247146.859,2137272.253,2917232.313,2869593.267,1969332.327,2993036.062,2134012.28,2452923.488,2495966.296,NA,2691062.376,3391129.554,2807305.22,3495889.151,2774521.817,3321291.335,3299526.953,2532956.355,2541135.338,2087037.317,2321081.646,3073265.106,2301552.128,2337756.818,2752031.516,3190340.241,2465124.745,2642764.336,3750547.223,2294223.923,2564355.98,2565818.093,3545792.145,2640670.738,NA,2231276.649,2636523.185,2261572.778,2587933.475,2548033.301,2732007.593,1738012.68,2351813.443,3629703.608,1768311.743,2754096.046,2964011.623,1939536.82,2331582.482,3534838.561,3746217.814,2907992.677,2385540.985,3322334.874,3060119.678,2245256.928,3137563.502,3494126.213,3411826.233,2179507.507,2716127.688,2090402.668,2493928.082,2552986.932,3214187.855,2579365.947,2755546.266,2658247.6,2471181.425,2343602.473,3007467.295,3388805.262,2696167.44,2746993.854,2371451.813,2521708.381,2199239.829,3256027.296,2856652.89,2078917.677,2104107.553,3235450.559,2683647.176,3173771.157,2411123.216,3090671.474,2768224.483,2466744.609,2295752.077,2712610.959,2359122.554,2222427.207,2858066.161,2151776.96,1931589.539,2090874.636,2154547.156,2063025.03,2995527.442,2568155.604,2115814.972,1840768.777,2605901.648,1865082.412,2562564.456,2499851.435,2249829.766,2071269.332,2953277.677,2214621.577,2029051.904,3104940.56,3286046.646,3331405.615,2056649.177,2832020.956,2668052.12,2268008.613,2302079.54,2128564.714,2983080.007,2394833.177,2495716.143,2246760.174,2513382.886,2917932.102,2576956.852,2437052.771,2731566.491,3152454.841,2579633.859,3237908.602,2735934.145,2693229.33,2555891.183,3075399.74,2749257.684,2143068.213,2862668.26,2474836.538,2153720.789,2408092.408,2352304.877,2421306.058,2118730.757,1922239.788,2430679.232,3212576.412,2842174.281,2041606.456,3182368.922,1782639.892,2185917.842,2366027.337,2159428.908,1533998.062,1763430.012,2510052.139,2638189.829,2325609.546,2529854.007,2657896.465,2829577.695,2350541.498,2265757.361,2025313.778,2025522.791,1808159.91,2844307.047,3001421.177,1941934.101,2713754.546,3296783.699,2339306.994,2174264.227,2345565.039,2288417.537,3271298.873,1835068.206,2178119.846,2613152.297,2074096.788,2087963.716
"M76T32",76.07585704,32.473,787434.5928,756502.1137,710545.3615,731923.2572,752175.5754,753733.9534,790197.7601,764325.7515,819984.6896,754381.8973,782324.6905,718790.3305,678426.7048,767271.7768,741436.0079,736717.3677,768566.581,791254.5808,761211.6697,781394.3289,786847.4798,782799.43,756024.6082,723742.7671,668323.407,401728.4917,651209.3683,NA,455553.3326,190647.1132,808724.3196,644048.7205,1290069.931,663465.3243,1230479.521,1158760.999,508773.8652,837407.9704,174284.5442,657005.1653,574276.1525,532686.3242,865416.5931,703425.182,545799.3025,850151.0631,254832.4631,1781602.881,622335.8619,542879.8729,547307.4117,556134.1082,724911.7635,409733.7246,505836.6852,787690.7917,644937.0264,859194.9549,585361.7154,377461.9241,NA,398492.6555,973306.058,675924.998,734014.9943,720244.6668,781099.7046,693209.2422,554905.2248,1229025.815,577747.997,457736.0814,NA,212142.1049,497718.9995,380326.5937,4287417.654,512523.2654,112837.2363,415384.6942,655748.9419,404531.9202,632369.5774,436315.4943,NA,NA,317088.5059,1416647.326,502652.866,NA,524288.5428,NA,1000339.751,564260.103,413893.732,968749.1469,535458.073,639413.4864,743472.9296,1159790.091,808223.8165,233056.1679,598369.2465,485473.8133,1029405.222,1637605.014,987476.8007,401182.3154,162498.2893,294410.5776,966623.9204,843711.7796,654385.4417,1382424.751,646802.3285,754518.3506,598993.1179,409458.5444,501062.3478,343224.8708,1806727.02,824421.1581,1308188.16,298867.4742,547445.8308,277947.82,803547.3063,188158.9846,252596.9774,635204.7315,599808.4766,679742.0249,845497.9713,574708.9895,725569.8425,579144.504,1126315.011,655530.9191,663811.9532,1657568.155,1024708.346,745859.6481,443670.1738,429730.2773,339176.6104,85862.04299,1061388.575,19670.49863,1087027.932,248655.7678,458059.8282,745976.5113,455998.4771,617229.3024,276604.1529,984935.2469,1024834.998,360839.2315,311634.832,683594.7073,259267.8418,405394.9751,450559.7753,921968.5657,1042638.547,696558.6733,94810.93073,182087.652,443590.6673,625837.4977,432431.1379,485704.3431,520406.762,871709.9167,1079222.807,1097133.634,1232711.27,873089.431,277227.6194,1272617.052,1225914.434,188610.65,548130.2102,464215.4521,1327649.84,347303.4516,1362276.639,727630.7164,330139.7392,561832.2689,1086718.575,447015.0224,1414168.598,1258713.151,674852.2475,446220.2415,499084.7298,233429.2374,194031.6823,438913.9637,503509.0223,458354.0839,511596.3125,659895.3576,1839054.067,767912.6638,422334.0994,229958.5989,396556.6177,614211.9841,516725.7606,496774.7924,145879.3118,936640.5229,65667.30632,567625.3864,277967.7309
"M86T93",86.09640318,92.5885,6041830.745,7144042.688,6579335.596,6485967.029,6673269.941,13841102.53,6521380.457,6713896.205,6512901.298,6436672.273,6756974.026,6764150.203,7291184.978,7346013.938,6992888.98,15836766.31,6374778.33,6550925.017,7209021.782,7298078.53,6406061.666,6971506.245,6387826.485,6188665.721,5724827.022,7957874.024,7931303.632,5453818.672,6747163.19,7017197.688,6425317.929,6682304.255,7145493.844,6559150.602,5018414.727,5025965.156,6733590.805,7210107.929,4230205.209,9024995.834,4835517.246,5891545.504,5795124.863,5777306.682,6316737.352,8821165.569,6986566.039,20775105.1,7095665.904,12117668.81,16626821.66,6947688.187,7141602.563,5570556.25,5959452.415,7911899.067,5290336.89,5485571.288,7944887.885,7248485.573,5741990.633,6284424.383,19359430.22,6800237.739,6879146.492,12659983.7,8965789.49,14244661.65,295293.182,10000492.67,10235257.32,5362218.953,6731915.899,7016070.723,6502257.178,4299121.719,6427090.14,16388323.52,4727329.556,6455550.711,8814265.67,4695766.399,5556834.652,7847725.525,17539277.87,8467047.556,5232508.457,14167971.77,7727975.265,6054248.605,8168381.369,16167231.92,7135840.558,6496876.422,7621752.482,5356945.802,7556587.543,6197949.241,7635055.651,7210809.056,14872292.65,7072031.545,5999217.341,7450801.128,14897688.47,8821677.98,7518876.865,7291976.275,5770799.995,6768824.091,5741666.352,17101400.8,16250480.15,5927837.098,6508990.595,8689435.109,7195924.565,16311839.95,5630583.53,8538984.729,9593862.621,7513817.544,6926603.547,7000075.183,5697923.586,6801663.487,8247612.56,6089362.234,4495148.793,5670637.587,6125945.022,7039111.834,14784002.87,7926949.91,6739730.395,5533493.463,7054331.917,5814190.086,7098848.778,7048940.563,6395646.614,10596487.12,8259543.653,6863907.836,6295778.904,8695438.434,8280129.432,9058518.927,5333720.427,7012554.573,8037492.085,6363214.683,6538712.682,5265450.317,7691332.78,6650753.173,5420414.703,6742224.062,6121669.534,7339806.706,6156791.726,6443222.826,6499914.492,8516237.253,6228954.717,9458477.387,6912044.614,7505087.947,7158118.457,8487997.814,6139453.629,5854529.877,9390099.956,6351002.644,5315906.732,5603470.903,5851291.7,7041693.246,5117299.75,4940346.889,6316167.734,8487652.904,2142165.976,6449307.901,8746696.606,4599246.517,5050549.343,5785253.834,6523141.982,3965222.585,5430464.191,7073375.09,7144819.256,5528399.762,6050471.696,13957426.91,6906449.017,6287803.52,6410119.976,6098404.609,5549359.034,5327709.145,7251994.478,7125006.499,5125812.648,7003244.356,9089819.61,6691266.962,8134047.272,6630855.342,6437824.839,7425163.003,5419111.944,6905634.409,6218847.866,6549420.274,5308780.983
"M86T75",86.09653541,74.685,3058174.808,2401116.202,2792654.348,3211337.965,NA,NA,2933173.932,2896396.904,3140154.276,2877072.362,2940179.02,3006293.1,2859291.665,NA,3289942.76,NA,2613331.35,3006582.518,2217296.977,2533005.985,2750924.904,2711031.404,2554700.452,2594984.214,2299529.308,2273455.286,3292095.746,1912298.499,3011341.538,3531120.06,3331067.044,2819551.605,2776113.981,2072003.873,1709386.96,1729909.36,2839789.833,2964995.917,1303597.118,NA,2047387.808,2337442.903,2091188.818,2494973.194,NA,3503643.035,2653286.446,NA,1664985.003,NA,NA,NA,2732252.158,2294752.494,2479501.42,3610262.491,2104167.914,2206764.497,3673069.192,3432547.705,2591445.888,2744192.757,NA,2794215.888,2816501.077,NA,4003739.616,NA,NA,NA,NA,2206708.669,2777799.018,2551430.627,2156460.18,1727357.284,2743508.865,NA,1952768.947,2607685.065,3945085.058,1742279.541,2436024.593,3752982.319,NA,3221785.211,2297559.507,NA,2976128.408,2364978.43,3167716.27,NA,3441075.182,2525555.721,3515054.831,2178232.733,NA,2510729.424,2528113.854,2369194.189,NA,2131573.255,2537465.516,3469914.634,NA,3516982.678,2916131.571,2389246.12,2018395.54,2647516.316,2514207.328,NA,NA,2285054.257,1764261.312,3478765.677,2899889.853,NA,1732301.102,3334827.057,4164575.145,1828469.353,2577069.086,2925197.198,1961153.237,2557618.751,3373468.227,2554990.017,1946626.539,2478498.8,2662927.536,1925322.438,NA,3275927.026,2307076.006,2037635.62,1627361.82,1885067.498,2576676.208,3290243.267,2272045.718,NA,3311571.812,2439498.895,1993084.937,3951777.07,3195225.294,2940101.596,1816491.743,2875029.938,3249019.261,2581967.975,2559391.027,1818800.629,2814623.631,2843344.58,2492360.132,2620715.558,3096889.914,2996066.572,2575545.265,NA,2679341.995,3662657.931,2773767.286,3985691.742,2789311.168,2823259.542,NA,2754584.187,2056333.313,2452436.961,3677444.638,NA,1764876.899,2423629.266,1441241.796,2513027.793,1543148.968,1786123.505,2231860.329,NA,2531278.792,2739530.419,3722755.703,1650716.488,1764017.7,2076890.104,1593925.584,NA,NA,2666528.491,2898175.234,2314791.72,2144833.115,NA,2089284.062,NA,2419244.1,2036949.05,1769253.639,NA,2340577.244,2737498.013,NA,2527107.567,3584688.086,2740949.884,NA,2854379.548,1790981.783,2990781.877,2049290.67,2867663.379,2667249.206,1857913.493,2080717.357
"M86T105",86.09641408,105.406,4219317.31,NA,4274248.946,4471155.741,4553296.124,NA,4465019.028,4500692.977,4537883.886,4443423.787,NA,4672087.585,NA,4885824.297,5002583.892,NA,4235545,4539032.296,4062478.511,NA,4320290.073,4673839.845,4383946.218,4135112.517,3782535.272,5110559.274,5302857.316,3780990.014,4585174.919,4657195.063,4681295.892,4526099.771,4396541.337,4119494.658,3107396.985,3443057.806,4226353.554,4728162.351,3093336.819,4964062.252,3281746.45,3867871.197,4070313.726,4028364.424,3943202.112,5406417.27,4745899.883,NA,NA,NA,NA,4623103.166,4559294.806,3635552.639,4212371.994,5024407.107,3898047.94,3854323.843,5153731.804,4924004.938,4202674.438,4352795.063,NA,4392699.349,4377693.616,NA,5667257.337,NA,743639.0334,NA,NA,3678650.055,NA,4462073.109,NA,3108611.396,4378182.321,NA,3497675.2,4275800.234,5614079.93,NA,3816420.959,5238823.802,NA,NA,3691719.518,NA,NA,4223316.305,5212460.163,NA,4584275.599,4294834.667,5180058.381,3641846.63,4905184.672,4356617.136,NA,4094728.326,NA,NA,4202540.107,4646455.617,NA,5939982.504,5108749.959,4649758.395,4233669.545,4723348.568,4732241.764,NA,NA,4115455.332,NA,5540712.435,4635044.011,NA,NA,5281549.704,6066763.484,3971960.869,NA,NA,3914564.396,4653571.55,5058854.848,3848182.476,NA,3951979.435,4261574.093,NA,NA,5158027.084,4379506.177,3710351.518,NA,4230368.087,4695281.307,4723706.249,NA,NA,NA,NA,4327834.966,5368324.312,5081646.74,NA,NA,4667531.293,NA,NA,4470835.997,3718006.028,4569365.4,4314787.757,3625133.291,4571354.863,4158839.007,4494831.87,3924994.133,4292098.842,4283690.993,5283746.554,3959324.4,5894396.559,4502203,4674850.7,4825854.186,NA,NA,3661624.337,5431923.156,4313258.432,3653450.225,NA,NA,NA,2975963.937,3548038.364,4118047.999,5380789.961,3722047.997,4309119.218,5398864.932,3332812.107,3826034.635,4278013.455,4139428.1,2571261.186,3741741.595,4846758.406,NA,3767381.141,NA,NA,NA,4160557.509,4392053.677,NA,3628731.389,3552168.414,3792969.325,4817499.322,3493785.828,4720274.431,NA,4413975.152,3806691.672,4748883.668,3669428.29,4586920.705,3961466.52,4486426.159,3987605.011,NA,3720030.339
"M90T660",89.50695027,659.566,1316090.909,634610.3106,1811709.444,2081397.368,1969341.427,1544873.736,1778043.282,1781565.437,1574443.319,1615612.894,1764222.942,2169996.516,1832747.721,1293243.386,1552771.201,1642370.826,1510858.188,1793314.754,1216317.26,1399716.613,1360770.33,1532716.645,881595.4019,1363664.061,998234.0175,2070515.445,2235647.212,2121797.746,2442339.463,2221105,2262486.19,2330604.546,2147539.406,1998635.644,1834875.197,2151901.435,1821051.043,1138596.824,353800.9735,1715291.303,1854461.903,1804612.481,1793026.542,2360720.844,1822596.656,1948681.435,2078074.713,1932898.202,2205983.652,2068925.756,1976859.638,685106.0057,1958877.628,1921264.79,1996022.897,2117952.223,2224483.162,2247048.575,1864126.304,1857312.091,1764096.64,2123501.987,1763655.762,1963137.654,1525132.451,1973765.554,1705260.95,1901170.648,1682605.432,1118815.848,1822599.131,1819542.652,2032372.284,1771272.245,1990026.821,1966515.644,1607582.758,1582107.077,1512415.202,1056745.124,1802783.712,1705437.649,2042066.5,1823763.168,1849494.339,1789552.539,1766270.101,1665075.34,1867097.748,1671999.368,1594281.366,1891608.697,1830283.002,1620831.878,1756465.564,1727352.68,1815891.2,1952652.697,1869005.663,1827960.957,2070005.98,1648848.545,1880152.643,1788362.324,1733474.976,1894029.896,1659772.292,2078279.844,1923537.297,1722597.552,1748658.425,1670319.683,1491379.395,1753860.957,1611386.832,1783037.847,1769776.863,1786469.681,1867993.25,1950560.439,1727517.56,1588221.739,1682007.603,2037290.185,2092564.922,1911933.854,1675283.541,1627724.723,1563821.165,1723054.496,1737249.555,1451938.647,1405319.746,1695572.258,1887516.454,1279764.992,1477886.587,1633738.49,1640317.512,1289264.98,1844697.339,1740531.703,1548202.711,1788604.329,1538511.729,1778082.209,1564075.582,1290949.245,1630132.187,1869678.276,1448159.499,1640949.19,1738839.985,1440166.566,1491904.897,1709809.602,1728025.045,1640474.016,1367075.847,1751358.781,1560157.567,1410496.943,1590724.797,1887935.964,1728268.403,1656286.68,1202734.091,1931386.189,1291508.854,1406841.32,1375796.248,1647715.249,1458008.63,1557005.943,1576044.859,1436731.734,1304714.484,1398548.681,1610276.794,1385138.582,1490122.399,1528431.692,1467970.741,1314227.533,1350566.305,1336383.8,1417197.491,1044143.799,1616114.169,1424583.105,1115974.552,1344185.229,1563220.403,1110018.952,1452845.613,1496208.806,1473153.937,1096428.788,1203205.374,1308703.968,1295881.094,1205974.469,1246567.403,1081213.204,1382026.365,1472736.25,1512204.291,1540993.137,1447276.731,1488848.841,1277486.273,1122597.097,1214286.699,1337646.234,1087802.44,919672.392,1199472.06
"M100T152",100.0757599,151.6195,7874789.174,7769883.504,7762486.001,7837069.496,8065360.803,7320192.111,7839848.13,7746983.046,7714533.379,7040353.377,7263561.658,7254289.985,6763514.417,6936379.702,6338014.407,6777763.794,6092941.808,6780441.644,6200963.398,6721950.167,7345891.661,6828306.267,7088988.558,6595485.684,6588194.484,4979337.207,18685752.71,2914476.097,4549307.19,13667818.33,1974601.524,1454692.564,10503272.41,2778891.65,1260449.412,8279748.464,1534787.363,1451901.171,1659812.865,1451377.85,969046.1275,4462504.001,1996682.783,13690940.89,9139233.477,11490397.23,1448699.685,28375535.12,1539609.367,9894599.036,7143593.369,8086042.814,5254162.096,2247744.789,1982296.994,2691508.183,14537085.64,1892366.228,23999086.9,465818.233,4177458.371,8608893.742,5292199.748,1691289.96,4809047.435,3644224.405,5091510.237,697876.9384,178685.7396,1805227.703,4471080.334,5734795.215,705860.2789,2296909.799,16825111.93,726102.2513,9168838.173,184086.8309,9031986.982,10225714.41,8391606.173,1147786.685,7429136.483,2665103.057,4378040.683,454317.9145,1769903.504,21304865.72,3697865.234,1907164.669,15736664.33,6192022.061,14216216.67,3313265.42,5130511.44,2059722.567,3665198.89,906343.9259,12732866.22,7347889.578,1378924.294,4362385.871,7877278.635,8587527.916,896192.8798,5813473.492,2625006.046,3459609.282,11864918.51,526792.7875,3342545.747,1517208.34,973125.3626,7856505.977,4339189.835,1032804.606,13288719.56,4054686.671,2638594.5,1420862.356,9094348.084,1806764.435,3121025.778,9596379.863,1815384.533,4400978.114,432565.6523,2787284.135,5933658.304,1384523.844,1075710.381,5431165.399,764065.7062,1708358.907,3419550.493,2301405.105,864890.1723,5422535.235,3200031.456,9192249.505,7754825.986,4659844.883,5024444.168,1619964.975,1725796.382,4481346.882,10552987.77,297669.2412,1547668.217,6291416.71,2152809.184,810358.389,5554412.05,10905759.31,1787087.158,4971487.979,7300522.742,3525478.035,3508240.449,12592936.53,3525404.267,4526541.601,12830389.4,13343587.17,660089.6467,6753212.391,5442900.706,1764101.01,1999657.944,2838181.078,5320426.463,10596240.93,11900443.09,3431467.272,12117022.77,5944775.93,6519299.256,9138081.795,1791460.391,7473804.468,3985977.191,3393295.416,250485.8865,6650089.635,4438079.301,809125.5807,7818911.299,5745510.998,4839496.073,9806729.801,1552534.893,5200054.802,2692083.492,20079570.09,1420079.995,2549541.951,1166318.474,4882742.914,11181619.61,3114451.41,954653.2419,753201.2931,1294907.732,5590166.315,1173027.968,3842658.444,10797202.02,8858829.955,18072435.93,2597364.138,14151412.74,6450959.049,5110359.797,3068437.576,4739309.882,436014.0877,1231863.089
"M104T31",104.107388,30.921,10629593.48,10413455.23,10011202.54,10186786.27,10313246.48,10176855.58,10160238.22,10206999.51,10229022.31,9363165.044,9738585.377,9337097.582,8522668.864,9521441.191,9184012.189,9900296.756,9355564.846,9963204.133,9303034.303,9227407.242,9044097.817,9222897.29,8858016.323,8370472.86,7220341.622,13232713.54,10193475.97,11612476.46,10037821.42,11051442.86,11334666.45,10069367.69,10612266.57,9283067.773,9518413.327,8578252.555,7668774.626,10991162.04,9545778.105,9548313.876,9884783.658,8895610.849,8141840.793,8031581.941,10221091.74,9575381.06,12404998.78,8946580.799,10072161.82,10407097.66,10389547.3,10918621.19,10303371.6,7564277.493,8945965.115,9542794.148,10260572.12,10177557.26,11075211.88,9410535.353,11348107.06,10020561.55,10873086.11,10013203.32,10398337.02,10590752.79,9731643.231,11194211.97,6775652.617,9326300.136,10206984.67,9135598.184,12443300.71,10365184.77,10637671.03,11196798.3,8114405.983,9907817.723,9047670.492,9887991.385,10788325.1,9491844.612,10756795.28,9738433.653,10676847.28,12460357.15,8322046.33,8937305.454,10875116.83,11574784.91,10059194.06,8741140.975,9477888.302,10743968.93,8703563.07,7868118,10659207.76,9509536.946,10186804.98,9892896.409,8805594.814,11099697.15,9536647.351,9349211.215,10249156.28,8954624.394,10848547.35,9212916.149,10902610.57,10147807.1,7506872.326,9300382,8385074.556,7953202.494,9419206.054,9757491.663,9337200.296,12724343.67,8484226.766,10486977.97,9579816.402,8747441.907,9325276.845,9011784.888,9338003.482,8140816.743,9652160.68,9792044.737,11628418.89,9940272.243,10008930.6,8596396.938,9667393.561,8201411.661,9721945.544,8527310.533,8184007.304,9406917.651,8154342.199,8184161.646,8041285.48,8631444.289,8358777.367,8269705.662,8063196.634,9903139.486,10575652.18,9768983.576,10480130.49,8562225.382,9425343.69,9587146.183,8646296.718,9299445.198,8248076.052,9190145.702,9595856.559,10363140.81,9472388.803,7579302.327,8446230.418,10909517.34,9988224.38,9031390.035,8590684.271,11061571.17,7278543.158,9627548.366,9883500.99,9596883.504,8182901.374,8196738.012,10294301.13,8747939.743,8983419.684,9722817.19,8613161.618,10080098.48,7500982.314,9386560.326,9398702.864,10236759.78,8162919.597,9625904.439,10846196.61,9209660.601,9161340.61,8324432.72,7183235.304,7460527.804,8441504.322,10791969.01,8256117.005,9507929.242,7845520.251,7251682.477,9556741.796,8406045.878,7885919.796,10340479.68,9073942.6,9911564.625,6295781.522,10573272.15,8800207.038,9416537.4,9707062.042,9513369.287,8869843.261,8184937.436,8494870.515,8228512.081,10826686.21,8659129.256,8477219.337,7178305.958,8715893.261
"M105T136",105.0368976,136.2705,1283026.727,1306172.986,1267734.739,1305279.698,1337937.515,1229832.71,1297811.111,1294092.635,1286307.741,1227968.528,1257530.545,1266157.761,1180307.414,1272303.859,1197357.683,1195945.422,1082211.624,1199550.874,1151663.382,1219191.914,1245882.035,1196346.613,1174976.927,1124309.579,1100877.101,153391.0904,360806.6355,1011130.5,500598.098,2519244.053,2889389.403,16922.84455,299130.5928,NA,185478.9504,83285.33487,124508.9599,NA,108579.4469,737142.0263,195667.7433,531601.6727,44299.6844,1532586.425,194244.3559,2902761.24,221106.4409,3087135.776,26685.45564,4534.309288,NA,4978823.925,1563931.533,NA,65368.48652,NA,647925.2598,187721.2178,5349202.376,NA,195409.5583,679249.4403,2843597.101,NA,88989.5285,7968525.341,977378.0499,32375.55749,5253.37911,229420.3471,218722.743,NA,27486.38295,NA,8845318.926,NA,7265696.665,621292.5782,8336761.322,4710429.641,40171.10915,113171.5173,1150003.749,47579.06607,173809.3012,16978.62592,61315.6059,266276.4691,101506.5023,64315.72982,1912046.101,17012.53934,91888.60402,60860.72726,123628.4557,168673.7284,11001380.3,50102.34447,76483.2429,1264048.786,16212.09755,38722.47357,23214.40331,645975.9731,56996.2701,207250.2618,115813.3683,268183.5137,21795499.48,305245.0945,1519661.456,2120146.917,645842.5066,853619.4677,95367.86423,128624.5966,304328.1137,NA,23975.62457,2094380.484,1008592.471,932942.0991,NA,2184482.961,14370.64046,2870432.389,NA,7882603.795,13176.51375,686726.4191,39021.55409,66247.24289,43651.2178,NA,85669.22973,777600.0978,248674.7449,NA,19509.80736,NA,NA,94586.07281,57660.23959,8872499.618,54326.8283,NA,866773.4588,77743.57621,158114.1846,NA,1300738.654,83443.31537,475929.7466,2728451.711,84174.48171,645853.4528,43251.85355,1032645.119,3640128.762,2035601.228,1247656.225,5744213.044,NA,444419.1143,622573.9065,81936.44188,3013817.824,294639.8296,NA,518439.5435,127218.414,3318948.644,131567.1821,83554.86654,113873.0869,NA,690800.4846,NA,23166.62834,2125658.053,NA,489304.5131,13714.45932,338863.4553,274172.9844,NA,11362.36347,1660891.007,NA,NA,100678.002,648662.4959,4255267.461,4824069.337,320583.2807,10541186.86,30350.06309,838399.0973,73666.04112,695981.8698,128222.4569,405194.6095,111265.3482,350242.3718,68766.89994,237477.2012,296874.0099,308028.9991,1704677.394,23546.75277,5294154.351,NA,41128.72889,1140589.292,10644020.06,37821.69519,6365.785729
